CAIRN|0,18.2,19.2,37.7,-13.9|5.7,1.9,3.3,8.1,-0.1
CNRA|12.1,14.6,19.4,19.3,17.4|0,0,0,0,0
FCH|10.7,19.8,9.2,20.3,31.4|0,0,0,0,0
CRBM|17.1,26.1,25.6,17.7,19.8|28.3,40.8,38.4,37.3,36.7
CARE|7.0,26.5,50.3,62.6,29.5|32.0,28.1,29.1,28.2,30.0
CPIL|0,0,0,0,31.2|33.7,30.0,28.9,23.0,-7.7
AIDA|4.9,1.8,1.3,1.0,0|30.1,29.1,30.1,32.3,-17.3
CAST|75.7,77.1,116.1,68.1,78.2|33.7,33.0,32.9,33.2,34.7
CHCM|0,52.2,27.4,48.5,46.7|900.0,6.4,23.9,28.8,32.0
CEAT|18.8,11.4,13.3,12.8,0|22.0,23.8,32.0,33.0,30.3
CENKA|124.4,59.9,20.8,35.8,27.6|0,20.6,33.5,41.6,30.4
CNPLY|14.4,18.1,10.1,36.9,18.6|-3.2,3.3,7.4,-0.7,16.5
CENT|21.5,231.3,-148.4,0,360.5|30.2,1.9,51.6,90.3,146.0
CESC|25.4,19.0,20.3,60.1,36.2|35.6,28.6,24.5,40.0,38.2
CHMBF|36.4,32.9,50.0,33.2,32.4|35.8,37.2,72.2,44.4,18.9
MDRF|34.9,48.2,0,0,0|33.0,147.7,-4.1,7.9,95.3
CHETI|18.0,0,0,25.4,15.2|33.7,68.5,8.3,20.9,25.2
CHIF|12.6,21.2,19.6,16.3,13.6|67.9,35.7,46.4,31.9,33.6
CNMX|0,0,0,0,0|-8.1,0,25.3,32.7,68.8
CIPL|14.0,10.4,11.6,13.6,10.7|21.1,26.5,24.6,24.2,21.9
CTUN|14.6,16.7,15.6,16.6,16.1|0,0,0,0,0
COLR|52.6,72.4,48.0,11.0,654.8|59.3,30.8,52.0,0,22.0
CMC|16.9,24.9,23.0,24.3,30.1|15.3,31.1,24.9,27.6,15.5
COIND|42.7,50.9,121.2,95.3,121.2|30.6,30.5,34.0,36.4,33.9
COLG|76.1,76.7,68.0,58.4,47.2|24.1,25.1,28.3,28.4,29.3
BECOM|0,36.5,20.6,15.9,0|0.3,16.6,6.2,0,37.3
CMPD|4.9,4.1,0,0,0|9.9,1.6,0.1,-40.0,-2.8
CCORP|24.8,24.4,25.4,24.8,33.7|21.5,22.7,24.4,20.0,27.0
CNPR|21.8,14.9,16.3,19.8,0|38.4,18.4,27.6,30.8,0
AKLN|2.9,2.1,2.5,0,0|17.2,24.5,29.2,16.3,0
CFRT|31.0,29.5,35.7,32.6,32.3|29.2,22.1,28.7,31.9,34.2
CRBK|20.0,20.1,19.9,20.5,0|0,0,0,0,0
CCLB|2.1,1.8,1.6,9.5,6.1|20.3,20.8,20.1,39.4,16.3
CAKIL|5.3,32.8,5.5,3.6,18.4|32.4,41.8,20.1,24.9,26.4
EDMR|0,0,0,0,0|34.0,6.2,24.6,5.1,36.2
SRYS|-7.3,-79.9,62.0,8.6,3.9|-1.5,39.3,8.3,372.3,-776.7
CRISIL|51.0,45.1,62.6,53.2,57.4|29.7,35.4,28.2,28.6,29.7
CRGR|15.9,24.0,-142.0,30.8,24.0|25.1,33.1,54.6,47.7,51.8
CUMM|51.6,47.2,60.1,49.4,51.6|30.2,29.0,26.6,16.2,17.1
INTE|17.3,21.7,21.0,15.9,24.1|35.3,30.5,29.1,24.6,23.9
DBCL|28.4,45.4,46.2,43.4,24.7|27.1,32.7,34.2,32.2,35.7
DABR|35.1,34.2,33.4,33.0,31.6|18.5,19.2,19.3,19.0,19.4
DBEL|8.5,8.2,-192.9,399.3,9.3|39.6,48.8,-281.2,-463.5,53.0
DLCN|53.7,0,11.0,0,0|-214.2,-43.8,2.2,-16.9,-413.8
DBRL|0,0,0,0,0|11.3,23.3,366.5,24.8,85.3
DCBL|0,0,0,0,0|0,0,0,0,0
DCMC|15.7,-46.4,55.7,13.1,13.5|33.0,55.3,-5.0,5.9,11.0
DECH|14.5,24.2,34.4,27.9,0|33.2,35.2,34.3,33.7,31.4
DEFR|24.0,23.5,22.9,37.5,23.8|32.7,29.2,27.4,29.3,27.7
