BASX|26.6,29.3,8.6,6.5,12.2|2.4,1.9,1.8,1.6,1.4
BART|20.5,18.6,-15.4,-21.0,-37.7|0.9,0.6,0.1,0,0
BASF|36.8,12.2,9.6,10.0,10.2|0,0,0,0.2,0.6
BATA|45.2,24.6,22.7,22.7,18.5|0,0,0,0,0
BTBL|4.5,-0.9,4.5,-4.8,-27.3|0.3,0.4,0.3,0.3,0.5
BAYR|17.5,60.2,16.6,18.8,17.1|0,0,0,0,0
BEML|6.9,2.6,-4.0,0.3,0.3|0.1,0.1,0.2,0.2,0.2
BRGR|22.7,22.9,22.3,21.0,25.0|0.2,0.2,0.1,0.2,0.1
BFUL|78.8,27.0,21.2,18.6,-26.9|-11.7,-8.9,-8.2,-6.6,-8.0
BGRE|33.9,20.1,13.3,7.4,2.3|0,0,0,0,0.3
BYNG|4.4,0.2,1.6,1.5,1.0|0.2,0.4,0.3,0.4,0.3
BHBJ|26.1,16.8,-1.6,-3.8,-12.8|0,0,0,0,0
BHEC|17.1,14.6,14.0,13.2,14.7|0,0,0,0,0
BFRG|18.9,11.0,18.6,22.1,18.2|0.9,0.8,0.6,0.6,0.6
BSHIP|15.5,8.3,0,-76.0,475.7|2.2,2.7,2.8,5.5,-16.5
BTVL|8.4,4.5,4.6,8.4,8.4|1.0,1.1,0.9,0.7,0.8
BHIL|5.2,5.8,8.4,11.7,13.0|0.2,0.2,0.1,0.1,0.1
BHEL|27.9,21.9,10.6,4.2,-2.7|0,0,0.1,0.1,0.1
BHSN|17.3,12.9,9.9,0.7,-15.9|1.9,2.0,2.4,2.8,3.9
BIIN|13.8,13.8,10.5,3.0,-8.6|0.6,1.0,1.0,1.3,1.4
BINA|-11.9,-41.7,-113.0,229.1,62.6|4.3,8.7,18.4,-13.2,-4.8
BICN|14.9,18.9,13.7,15.2,22.1|0,0.1,0.2,0.2,0.5
BCORP|10.7,11.0,5.1,6.7,5.8|0.3,0.4,0.4,0.4,0.3
BERC|3.5,-7.1,-8.5,9.1,24.7|0.2,0,0,0,0.2
BLKS|8.9,-1.0,1.5,-18.3,-14.3|0.4,0.4,0.3,0.4,0.7
BLDE|18.7,29.3,19.1,42.1,46.5|0,0,0,1.1,0.9
BSTAR|-26.6,9.8,16.8,11.9,16.4|0,0,0,0.1,0
BDYN|1.9,3.3,4.5,1.7,1.6|0.4,0.3,0.3,0.4,0.6
BRFL|8.5,7.5,5.7,4.5,-19.7|0.7,0.5,0.4,0.5,1.1
MICO|23.7,17.2,14.1,18.2,15.5|0,0,0,0,0
BPCL|4.9,11.2,20.1,21.3,28.5|0.4,0.8,1.1,0.9,0.9
BRGD|4.7,10.7,4.9,5.1,6.9|0.6,0.6,0.6,0.7,0.6
BRIT|48.8,47.1,49.8,55.5,45.6|0.2,0,0,0,0
BSEL|-1.0,-84.2,-0.2,-9.2,-1.4|0,0,0,0,0
CCON|9.5,11.7,7.6,-23.9,-84.4|0.5,0.5,0.9,2.2,6.2
CADIL|25.2,22.2,23.4,27.1,28.4|0.5,0.5,0.4,0.3,0.2
CAIRN|16.4,25.3,21.6,7.6,-19.3|0,0,0,0,0
CNRA|19.8,14.5,11.8,8.7,8.8|0,0,0,0,0
FCH|8.6,6.6,12.7,6.6,4.5|0,0,0,0,0
CRBM|22.9,23.2,8.5,8.3,12.2|0.3,0.2,0.2,0.2,0.1
CARE|29.9,28.5,26.8,26.7,38.4|0,0,0,0,0
CPIL|8.8,10.1,9.3,2.9,1.7|0,0,0,0,0
AIDA|6.1,7.8,9.2,9.8,7.6|0.9,1.2,1.6,1.6,0.9
CAST|88.6,79.6,68.9,67.7,95.5|0,0,0,0,0
CHCM|11.0,2.7,4.9,2.8,2.8|0,0.1,0,0.1,0.1
CEAT|2.7,15.3,26.4,18.9,21.6|0.9,0.5,0.4,0.2,0.3
CENKA|1.4,3.3,9.0,5.1,7.9|0.2,0.1,0.1,0.1,0.1
CNPLY|24.6,16.9,21.6,20.6,38.3|0.4,0.9,0.8,0.6,0.2
CENT|12.2,1.2,-1.9,0.2,0.8|0.6,1.0,1.7,1.6,1.7
CESC|5.1,8.9,8.7,3.3,5.8|0.9,1.5,1.6,1.7,1.7
CHMBF|15.1,15.3,9.3,12.9,11.9|1.0,0.8,0.7,0.6,0.5
MDRF|13.6,1.6,-87.2,-17.6,-2.4|0.1,0.2,0.6,1.2,0.6
CHETI|41.7,-0.8,12.5,8.1,17.4|0.3,1.1,0.6,0.5,0.4
CHIF|11.6,8.0,12.0,15.8,16.1|8.2,5.3,5.1,4.3,4.3
CNMX|3.2,0.6,5.4,4.2,5.1|0.4,0.7,0.4,0.8,0.7
CIPL|15.0,17.1,13.8,10.9,12.7|0,0,0,0,0
CTUN|21.4,22.5,19.6,17.1,14.7|0,0,0,0,0
COLR|62.6,20.2,29.0,67.6,8.4|0,0,0,0,0
CMC|27.4,19.7,24.3,24.3,20.4|0,0,0,0,0
COIND|36.6,35.8,35.6,34.0,42.1|0,0,0,0,0
COLG|104.8,102.5,101.5,90.0,72.6|0,0,0,0,0
BECOM|35.6,2.8,6.0,9.1,1.4|0,0,0,0,0
CMPD|51.5,45.7,32.8,-0.1,-0.3|0.2,0.2,0.1,0.2,0.2
CCORP|17.7,15.6,15.0,13.8,14.0|0,0,0,0,0
CNPR|13.4,17.1,16.6,19.8,0|0,0,0,0,0
AKLN|19.0,18.0,12.7,-25.5,1,153.1|0.4,0.5,0.5,0.5,-7.1
CFRT|26.6,19.7,15.6,18.2,14.9|0.2,0.5,0.1,0,0
CRBK|19.7,18.2,15.0,5.6,5.4|0,0,0,0,0
CCLB|5.4,5.7,6.0,1.8,2.6|0.2,0.3,0.2,0.3,0.4
